n,m,time_seconds,flow,graph_file
10,13,0.00006770000000000,427,.\grid_n10_d5_seed0.max
500,895,0.00264350000000000,450,.\graphs\pr_cs\int\grid500_d5\grid_n500_d5_seed0.max
4000,7195,0.14935920000000000,5324/95,.\graphs\pr_cs\rational\grid4000_d5\grid_n4000_d5_seed0.max
4000,7195,0.35173660000000001,74491/1292,.\graphs\pr_cs\rational\grid4000_d5\grid_n4000_d5_seed1.max
4000,7195,0.19162740000000000,1010,.\graphs\pr_cs\int\grid4000_d5\grid_n4000_d5_seed1.max
40,67,0.00009230000000000,811,.\graphs\al\int\grid40_d5\grid_n40_d5_seed1.max
80,139,0.00029560000000000,1136,.\graphs\al\int\grid80_d5\grid_n80_d5_seed1.max
40,67,0.00014900000000000,811,.\graphs\al\int\grid40_d5\grid_n40_d5_seed1.max
20,31,0.00007260000000000,1063,.\graphs\al\int\grid20_d5\grid_n20_d5_seed1.max
1000,1795,0.01956160000000000,10301/180,.\graphs\pr_cs\rational\grid1000_d5\grid_n1000_d5_seed0.max
1000,1795,0.00134860000000000,0,.\graphs\pr_cs\irrational\grid1000_d5\grid_n1000_d5_seed0.max
1000,1795,0.00164000000000000,0,.\graphs\pr_cs\irrational\grid1000_d5\grid_n1000_d5_seed0.max
1000,1795,0.00141040000000000,0,.\graphs\pr_cs\irrational\grid1000_d5\grid_n1000_d5_seed0.max
500,895,0.00079740000000000,0,.\graphs\pr_cs\irrational\grid500_d5\grid_n500_d5_seed0.max
500,2593,0.00182800000000000,880,.\graphs\pr_cs\irrational\n500_d4\layered_n500_d4_seed0.max
500,2593,0.00161670000000000,880,.\graphs\pr_cs\irrational\n500_d4\layered_n500_d4_seed0.max
500,2593,0.00138550000000000,880,.\graphs\pr_cs\irrational\n500_d4\layered_n500_d4_seed0.max
